Timestamp,Maze Size,Heuristic,Nodes Explored,Path Length,Time (s)
2026-02-01 21:49:15,21x21,manhattan,33,31,0.001462
2026-02-01 21:49:15,21x21,euclidean,43,31,0.001595
2026-02-01 21:49:15,21x21,custom,31,31,0.001161
2026-02-01 21:49:15,21x21,chebyshev,44,31,0.001269
2026-02-01 21:55:51,15x15,manhattan,35,31,0.008825
2026-02-01 21:55:51,15x15,euclidean,36,31,0.005379
2026-02-01 21:55:51,15x15,custom,33,31,0.000710
2026-02-01 21:55:51,15x15,chebyshev,38,31,0.001495
2026-02-01 21:57:24,15x15,manhattan,65,48,0.001288
2026-02-01 21:57:24,15x15,euclidean,65,48,0.001332
2026-02-01 21:57:24,15x15,custom,65,48,0.002370
2026-02-01 21:57:24,15x15,chebyshev,65,48,0.001826
2026-02-01 22:47:56,21x21,manhattan,94,53,0.004015
2026-02-01 22:47:56,21x21,euclidean,100,53,0.004503
2026-02-01 22:47:56,21x21,custom,84,53,0.003779
2026-02-03 20:36:30,21x21,manhattan,127,92,0.003208
2026-02-03 20:36:30,21x21,euclidean,131,92,0.005801
2026-02-03 20:36:30,21x21,custom,124,92,0.004856
2026-02-03 20:36:30,21x21,chebyshev,135,92,0.004913
2026-02-03 23:13:28,25x25,manhattan,259,162,0.002258
2026-02-03 23:13:28,25x25,euclidean,260,162,0.002142
2026-02-03 23:13:28,25x25,custom,259,162,0.002057
2026-02-04 01:59:23,15x15,manhattan,67,37,0.003073
2026-02-04 01:59:23,15x15,euclidean,67,37,0.003808
2026-02-04 01:59:23,15x15,custom,67,37,0.001713
2026-02-04 01:59:23,15x15,chebyshev,67,37,0.003084
2026-02-04 14:31:36,21x21,custom,58,30,0.002697
2026-02-04 14:31:36,21x21,chebyshev,56,30,0.002872
2026-02-04 14:31:36,21x21,octile,56,30,0.002880
2026-02-04 14:31:36,21x21,euclidean,56,30,0.003036
2026-02-04 14:33:13,21x21,custom,98,79,0.001223
2026-02-04 14:33:13,21x21,chebyshev,99,79,0.001269
2026-02-04 14:33:13,21x21,octile,99,79,0.002065
2026-02-04 14:33:13,21x21,euclidean,99,79,0.001808
2026-02-04 15:02:55,25x25,custom,74,33,0.001007
2026-02-04 15:02:55,25x25,chebyshev,67,33,0.000843
2026-02-04 15:02:55,25x25,octile,65,33,0.001146
2026-02-04 15:02:55,25x25,euclidean,65,33,0.001312
2026-02-04 15:04:11,25x25,manhattan,125,68,0.003475
2026-02-04 15:04:11,25x25,euclidean,129,68,0.001546
2026-02-04 15:04:11,25x25,custom,109,68,0.002697
2026-02-04 15:04:11,25x25,chebyshev,133,68,0.002352
2026-02-04 15:11:56,25x25,manhattan,205,97,0.003725
2026-02-04 15:11:56,25x25,euclidean,210,97,0.005477
2026-02-04 15:11:56,25x25,custom,203,97,0.003247
2026-02-04 15:11:56,25x25,chebyshev,214,97,0.003076
2026-02-04 15:19:12,21x21,manhattan,150,86,0.003916
2026-02-04 15:19:12,21x21,euclidean,151,86,0.001844
2026-02-04 15:19:12,21x21,custom,148,86,0.002619
2026-02-04 20:13:23,21x21,manhattan,25,17,0.000281
2026-02-04 20:13:23,21x21,euclidean,26,17,0.000216
2026-02-04 20:13:23,21x21,custom,24,17,0.000234
2026-02-04 20:13:23,21x21,chebyshev,26,17,0.000209
